name	mass	radius	semi_major_axis	temp_eq	star_luminosity	star_mass	star_radius	star_teff
           HD 5608 b	534.26955	13.69737	 1.91100	385.84047	13.41924	 1.53000	 5.14000	4877.00000
          WASP-105 b	572.09113	10.76062	 0.07500	846.89951	 0.48052	 0.89000	 0.90000	5070.00000
           WASP-21 b	95.34852	13.56287	 0.05200	1262.73597	 1.14160	 1.01000	 1.06000	5800.00000
           HAT-P-6 b	335.94463	14.90794	 0.05235	1673.08017	 3.56581	 1.29000	 1.46000	6570.00000
           TOI-150 b	546.66486	15.46839	 0.06430	1431.63578	 2.85361	 1.24900	 1.55100	6029.00000
         Kepler-45 b	160.50335	10.76062	 0.02700	832.63948	 0.05783	 0.59000	 0.55000	3820.00000
           WASP-96 b	152.55764	13.45078	 0.04530	1286.14108	 0.93241	 1.06000	 1.05000	5540.00000
         HD 179949 b	292.40213	11.76943	 0.04500	1552.31812	 1.95246	 1.28000	 1.19000	6260.00000
          WASP-106 b	611.81968	12.16174	 0.09170	1299.52831	 3.98235	 1.27000	 1.85000	6000.00000
           KOI-415 b	19749.85719	 8.85509	 0.59300	442.17482	 1.59851	 0.94000	 1.25000	5810.00000
          HAT-P-54 b	241.54959	10.58128	 0.04117	820.06459	 0.12695	 0.64500	 0.61700	4390.00000
            WASP-7 b	305.11527	14.90794	 0.06170	1486.76455	 3.08885	 1.27600	 1.43200	6400.00000
          HAT-P-55 b	184.97613	13.24902	 0.04604	1315.60940	 1.04424	 1.01300	 1.01100	5808.00000
            WASP-4 b	393.15374	15.63653	 0.02312	1870.47106	 1.08652	 0.93000	 1.15000	5500.00000
         HD 114613 b	113.46474	13.24902	 5.34000	177.33973	 4.16335	 1.27000	 2.14000	5641.00000
          HAT-P-29 b	247.27050	12.40834	 0.06670	1258.79948	 1.84657	 1.20700	 1.22400	6087.00000
        Kepler-454 b	 6.83331	 2.36509	 0.09540	916.68672	 1.06718	 1.02800	 1.06600	5687.00000
           HAT-P-1 b	166.85991	14.78465	 0.05561	1325.67274	 1.58246	 1.15100	 1.17400	5980.00000
           Qatar-2 b	790.43925	12.82307	 0.02149	1290.16594	 0.21248	 0.74000	 0.71300	4645.00000
          WASP-110 b	163.68163	13.87672	 0.04570	1143.29133	 0.59254	 0.89200	 0.88100	5400.00000
        HD 85628 A b	985.26806	17.14974	 0.04700	2403.97300	12.25100	 1.75000	 1.92000	7800.00000
         Kepler-20 d	10.06880	 2.74396	 0.35060	457.30976	 0.71419	 0.91200	 0.94400	5466.00000
            K2-238 b	273.33243	14.57167	 0.04600	1596.10456	 2.28044	 1.19000	 1.59000	5630.00000
           HATS-54 b	241.54959	11.95998	 0.03763	1629.87786	 1.64616	 1.00700	 1.31700	5702.00000
            HATS-5 b	75.32533	10.22259	 0.05420	1025.33516	 0.53906	 0.93600	 0.87100	5304.00000
       OGLE-TR-111 b	171.62734	12.07207	 0.04700	1027.99935	 0.40966	 0.82000	 0.83100	5070.00000
         HD 181342 b	807.28415	13.33869	 1.59200	410.17085	11.90961	 1.69000	 4.71000	4945.00000
        TRAPPIST-1 c	 1.37938	 1.05600	 0.01521	342.37464	 0.00053	 0.08000	 0.11700	2560.00000
           HATS-34 b	299.07653	16.02884	 0.03166	1443.35498	 0.72239	 0.95500	 0.98000	5380.00000
           WASP-48 b	311.47184	18.71900	 0.03444	2058.95841	 3.53976	 1.19000	 1.75000	5990.00000
         kappa And b	4131.76929	13.45078	100.00000	89.87969	78.43822	 2.80000	 2.29000	11361.00000
         Kepler-11 b	 1.89999	 1.80000	 0.09100	952.26381	 1.13076	 0.95000	 1.10000	5680.00000
          Kepler-9 c	29.90765	 8.29465	 0.22900	605.08214	 1.16457	 1.00000	 1.10000	5722.00000
          HD 76700 b	73.10053	11.09689	 0.04900	1439.19224	 1.70726	 1.00000	 1.33000	5726.00000
          HAT-P-45 b	283.50294	15.98401	 0.04520	1649.37986	 2.50781	 1.25900	 1.31900	6330.00000
           HATS-24 b	775.50131	16.66775	 0.02547	2091.23717	 2.00007	 1.21200	 1.17200	6346.00000
           WASP-90 b	200.23190	18.27064	 0.05620	1840.38510	 6.01679	 1.55000	 1.98000	6430.00000
           WASP-31 b	151.92198	17.22820	 0.04657	1542.70437	 2.03986	 1.16000	 1.24000	6200.00000
           WASP-62 b	181.16219	15.58048	 0.05670	1427.36420	 2.21596	 1.25000	 1.28000	6230.00000
           WASP-52 b	146.20107	14.23541	 0.02720	1299.36868	 0.35021	 0.87000	 0.79000	5000.00000
          WASP-123 b	292.40213	14.87432	 0.04310	1515.13659	 1.62562	 1.20700	 1.29600	5730.00000
          HAT-P-51 b	98.20898	14.49321	 0.05069	1193.00402	 0.85775	 0.97600	 1.04100	5449.00000
          HAT-P-43 b	209.76675	14.38112	 0.04430	1358.87628	 1.11118	 1.04800	 1.10400	5645.00000
           HATS-22 b	870.84983	10.68216	 0.05025	858.27671	 0.22682	 0.75900	 0.68900	4803.00000
        TRAPPIST-1 e	 0.63566	 0.91802	 0.02817	251.57806	 0.00053	 0.08000	 0.11700	2560.00000
         Kepler-40 b	699.22249	13.11451	 0.08000	1619.79142	 7.31600	 1.48000	 2.13000	6510.00000
          HAT-P-18 b	58.16260	10.61490	 0.05590	842.22737	 0.25962	 0.77000	 0.71700	4870.00000
         Kepler-87 b	324.18497	13.56287	 0.47100	530.90518	 2.92473	 1.10000	 1.82000	5600.00000
           KOI-830 b	403.64208	12.10570	 0.04330	1074.07540	 0.40420	 0.87000	 0.80000	5150.00000
          WASP-113 b	150.96849	15.79345	 0.05885	1484.63051	 2.79398	 1.31800	 1.60800	5890.00000
           WASP-45 b	320.05321	13.00242	 0.04054	1196.65910	 0.55964	 0.90900	 0.94500	5140.00000
           GJ 1132 b	 1.65906	 1.16013	 0.01540	578.10385	 0.00440	 0.18100	 0.20700	3270.00000
            HATS-1 b	589.57169	14.59409	 0.04440	1371.09013	 1.14852	 0.98600	 1.03800	5870.00000
          WASP-129 b	317.82841	10.42435	 0.06280	1078.27459	 0.88122	 1.00000	 0.90000	5900.00000
           WASP-69 b	82.63539	11.84789	 0.04525	963.72023	 0.29329	 0.82600	 0.81300	4715.00000
        Kepler-167 d	 1.90697	 1.19376	 0.14050	516.20634	 0.23276	 0.76000	 0.70000	4796.00000
           WASP-43 b	652.18389	11.61250	 0.01526	1440.98031	 0.16672	 0.71700	 0.66700	4520.00000
    EPIC 211442297 b	266.97586	12.49801	 0.13670	682.24503	 0.66595	 0.83100	 0.88100	5560.00000
          WASP-130 b	390.92894	 9.97599	 0.10120	835.41291	 0.82837	 1.04000	 0.96000	5625.00000
          HAT-P-14 b	699.22249	13.45078	 0.05940	1583.94173	 3.67129	 1.38600	 1.46800	6600.00000
          WASP-172 b	149.37935	17.59810	 0.06940	1745.49793	 7.42427	 1.49000	 1.91000	6900.00000
           WASP-34 b	187.51876	13.67496	 0.05240	1158.14365	 0.81970	 1.01000	 0.93000	5700.00000
           HATS-31 b	279.68900	18.38273	 0.04780	1837.49312	 4.20625	 1.27500	 1.87000	6050.00000
          Kepler-4 b	26.19987	 4.00000	 0.04560	1612.80397	 2.33622	 1.22300	 1.48700	5857.00000
          CoRoT-33 b	18815.44167	12.32988	 0.05790	1015.80629	 0.59128	 0.86000	 0.94000	5225.00000
         HD 192699 b	666.16834	13.51803	 1.06300	495.52882	11.27547	 1.38000	 4.41000	5041.00000
          WASP-107 b	38.13941	10.53644	 0.05500	739.99306	 0.15062	 0.69000	 0.66000	4430.00000
           HATS-70 b	4099.98645	15.51323	 0.03632	2762.48868	12.54871	 1.78000	 1.88000	7930.00000
           HATS-57 b	1000.20600	12.66615	 0.03493	1412.50785	 0.80621	 1.02600	 0.96000	5587.00000
             K2-99 b	308.29355	14.45959	 0.15900	1281.26336	11.10762	 1.60000	 3.10000	5990.00000
          HD 75289 b	149.37935	11.54525	 0.04600	1538.45566	 1.96796	 1.05000	 1.25000	6120.00000
           CoRoT-6 b	940.77208	13.06967	 0.08550	1018.06397	 1.29750	 1.05500	 1.02500	6090.00000
           CoRoT-7 b	 4.73564	 1.52442	 0.01720	1825.39110	 0.54149	 0.93000	 0.87000	5313.00000
           HATS-30 b	224.38686	13.17055	 0.04354	1415.06936	 1.26079	 1.09300	 1.06100	5943.00000
         HD 209458 b	219.30160	15.46839	 0.04747	1478.83609	 1.78962	 1.14800	 1.20300	6092.00000
           WASP-76 b	292.40213	20.51243	 0.03300	2182.12385	 4.10018	 1.46000	 1.73000	6250.00000
           WASP-47 b	359.14610	13.11451	 0.05200	1229.85753	 1.02726	 1.11000	 1.16000	5400.00000
    Kepler-35 (AB) b	40.30064	 8.16014	 0.60347	348.06022	 0.88675	 1.69710	 1.00000	5606.00000
          WASP-189 b	676.97451	15.40114	 0.04970	2640.01169	19.92478	 1.88700	 2.33000	7996.00000
          WASP-141 b	854.95841	13.56287	 0.04690	1537.65595	 2.04192	 1.25000	 1.37000	5900.00000
           WASP-55 b	181.16219	14.57167	 0.05330	1239.07411	 1.11199	 1.01300	 1.01100	5900.00000
           HATS-53 b	189.10790	15.02003	 0.04753	1328.28703	 1.10236	 0.96400	 1.10000	5644.00000
        Kepler-289 d	131.89879	11.59009	 0.51000	404.46004	 1.15584	 1.08000	 1.00000	5990.00000
         WASP-70 A b	187.51876	13.04725	 0.04853	1390.48053	 1.46197	 1.10600	 1.21500	5763.00000
          HD 17156 b	1015.46176	12.27383	 0.16230	964.63447	 2.78819	 1.27500	 1.50800	6079.00000
          HAT-P-65 b	167.49557	21.18497	 0.03951	1953.42590	 3.60064	 1.21200	 1.86000	5835.00000
       OGLE-TR-211 b	238.37130	14.12332	 0.05100	1729.54021	 3.86474	 1.33000	 1.64000	6325.00000
           WASP-46 b	667.75748	14.68376	 0.02448	1658.62640	 0.75314	 0.95600	 0.91700	5620.00000
           WASP-26 b	326.72760	14.35870	 0.03985	1663.75165	 2.02054	 1.12000	 1.34000	5950.00000
       OGLE-TR-113 b	394.10722	12.44197	 0.02290	1324.41078	 0.26793	 0.78000	 0.76500	4752.00000
          HD 33283 b	104.88337	11.09689	 0.16800	795.68078	 1.66997	 1.24000	 1.20000	5995.00000
           WASP-67 b	133.48793	15.69257	 0.05170	1028.61060	 0.49687	 0.87000	 0.87000	5200.00000
           HATS-19 b	135.71273	18.60691	 0.05890	1563.60689	 3.28488	 1.30300	 1.74000	5896.00000
          WASP-147 b	87.40281	12.49801	 0.05490	1402.78287	 1.93804	 1.04400	 1.42900	5702.00000
         Kepler-11 e	 9.53485	 4.19216	 0.19400	652.19447	 1.13076	 0.95000	 1.10000	5680.00000
          HAT-P-31 b	690.00547	11.99361	 0.05500	1465.59061	 2.24694	 1.21800	 1.36000	6065.00000
        OGLE-TR-10 b	216.12332	19.27945	 0.04162	1546.52711	 1.64548	 1.18000	 1.16000	6075.00000
           CoRoT-3 b	6884.16329	13.33869	 0.05700	1589.45607	 3.44351	 1.41000	 1.44000	6558.00000
            HATS-9 b	266.65803	11.93756	 0.03048	1808.83209	 1.63771	 1.03000	 1.50000	5336.00000
       OGLE-TR-182 b	336.89811	16.47720	 0.05100	1350.56560	 1.43701	 1.14000	 1.14000	5924.00000
           WASP-91 b	425.89006	11.54525	 0.03700	1143.79124	 0.38909	 0.84000	 0.86000	4920.00000
         HD 159868 c	244.09222	14.22420	 1.03200	385.02788	 3.82038	 1.19000	 2.13000	5534.00000
           WASP-95 b	359.14610	13.56287	 0.03416	1561.42807	 1.15181	 1.11000	 1.13000	5630.00000
    EPIC 219388192 b	11441.82264	 9.48280	 0.05930	1169.50896	 1.07265	 0.99000	 1.01000	5850.00000
         HD 286123 b	126.49571	11.20898	 0.10400	1000.06830	 1.73574	 1.18800	 1.16100	6154.00000
         Kepler-68 b	 5.97517	 2.30905	 0.06170	1253.86716	 1.56224	 1.07900	 1.24300	5793.00000
           WASP-14 b	2333.17833	14.35870	 0.03600	1882.37380	 2.69176	 1.21100	 1.30600	6475.00000
          HAT-P-49 b	549.84314	15.83829	 0.04380	2127.46219	 6.52609	 1.54300	 1.83300	6820.00000
           WASP-78 b	368.68095	19.61572	 0.04150	2194.54795	 6.63336	 2.02000	 2.31000	6100.00000
           HAT-P-3 b	187.83659	 9.26983	 0.03866	1145.19365	 0.42687	 0.91700	 0.79900	5224.00000
          HAT-P-48 b	53.39517	12.67736	 0.05430	1360.72861	 1.67858	 1.09900	 1.22300	5946.00000
        Kepler-41  b	155.73592	 9.42675	 0.02900	1575.21302	 0.85983	 0.94000	 0.96600	5660.00000
             K2-55 b	43.86032	 4.42979	 0.03470	943.04243	 0.15692	 0.68800	 0.71500	4300.00000
         Kepler-20 b	 9.69377	 1.86854	 0.04630	1190.27499	 0.71419	 0.91200	 0.94400	5466.00000
          HD 97658 b	 7.54842	 2.24706	 0.08000	753.65323	 0.34182	 0.85000	 0.73000	5170.00000
          CoRoT-14 b	2415.49589	12.21779	 0.02700	1948.14544	 1.74369	 1.13000	 1.21000	6035.00000
        TRAPPIST-1 f	 0.66744	 1.04501	 0.03710	219.21953	 0.00053	 0.08000	 0.11700	2560.00000
          HD 33142 b	440.19234	13.84309	 1.07000	484.81554	10.48053	 1.54000	 4.36000	4978.00000
            KELT-6 b	140.48016	13.22660	 0.08000	1322.34194	 3.24810	 1.12600	 1.52900	6272.00000
          Kepler-9 b	43.51071	 8.20497	 0.14300	765.63650	 1.16457	 1.00000	 1.10000	5722.00000
           HD 2685 b	375.03752	16.14093	 0.05680	1724.17654	 4.73457	 1.44000	 1.57000	6801.00000
           HATS-20 b	86.76716	 8.69817	 0.04619	1187.50413	 0.61013	 0.91000	 0.89200	5406.00000
           GJ 9827 d	 3.81394	 2.08487	 0.06270	661.13414	 0.12472	 0.65900	 0.65100	4255.00000
           HD 1502 b	874.02812	13.26022	 1.26200	458.94027	11.72714	 1.46000	 4.67000	4947.00000
               Venus	 0.81500	 0.94900	 0.72300	327.61907	 1.00000	 1.00000	 1.00000	5777.00000
             Neptune	17.10000	 3.88000	30.05000	50.81828	 1.00000	 1.00000	 1.00000	5777.00000
                Mars	 0.10700	 0.53200	 1.52000	226.20160	 1.00000	 1.00000	 1.00000	5777.00000
             Mercury	 0.05530	 0.38300	 0.38700	450.20562	 1.00000	 1.00000	 1.00000	5777.00000
              Saturn	95.20000	 9.45000	 9.58000	90.03877	 1.00000	 1.00000	 1.00000	5777.00000
             Jupiter	317.80000	11.21000	 5.20000	122.19811	 1.00000	 1.00000	 1.00000	5777.00000
